City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Paka,MY,4.6374,103.4368,84.0,78,40,6.91,scattered clouds
306,Savonlinna,FI,61.8699,28.88,1.4,78,0,9.22,clear sky
307,Zavitinsk,RU,50.1167,129.45,-5.91,89,100,3.98,overcast clouds
308,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.71,90,99,1.1,light rain
309,Saint-Joseph,RE,-21.3667,55.6167,86.0,58,40,4.61,light rain
310,Jalu,LY,29.0331,21.5482,49.06,90,0,2.8,clear sky
311,Naze,JP,28.3667,129.4833,69.8,52,40,9.22,scattered clouds
312,Lewistown,US,40.5992,-77.5714,34.0,51,1,3.89,light intensity drizzle
313,Hinatuan,PH,8.3722,126.3342,82.78,77,75,8.05,broken clouds
314,Ohara,JP,35.25,140.3833,51.8,40,20,6.91,few clouds
315,East London,ZA,-33.0153,27.9116,69.8,94,90,6.91,light rain
316,Longyearbyen,SJ,78.2186,15.6401,17.6,73,75,9.22,broken clouds
317,Ormara,PK,25.2088,64.6357,71.83,27,0,7.29,clear sky
318,Nantucket,US,41.2835,-70.0995,30.99,86,1,6.91,clear sky
319,Walvis Bay,NA,-22.9575,14.5053,66.0,82,0,4.61,clear sky
320,Linxia,CN,35.6003,103.2064,38.01,51,0,3.18,clear sky
321,Namwala,ZM,-15.7504,26.4384,66.0,96,58,2.48,broken clouds
322,Port Moresby,PG,-9.4431,147.1797,91.4,62,40,16.11,scattered clouds
323,Kiunga,PG,-6.1219,141.2906,79.92,78,97,1.01,overcast clouds
324,Kuytun,RU,54.3419,101.5036,9.82,93,100,10.27,overcast clouds
325,Saint George,US,37.1041,-113.5841,45.0,36,1,3.44,clear sky
326,Taga,RO,46.95,24.05,32.0,100,40,3.44,scattered clouds
327,Valera,VE,9.3178,-70.6036,72.41,65,83,4.56,broken clouds
328,Otavi,NA,-19.65,17.3333,66.38,60,81,7.16,broken clouds
329,Quatre Cocos,MU,-20.2078,57.7625,84.99,65,40,9.22,scattered clouds
330,Adrar,MR,20.5022,-10.0711,65.16,26,61,8.1,broken clouds
331,Pando,UY,-34.7167,-55.95,66.99,68,75,16.11,broken clouds
332,Batemans Bay,AU,-35.7167,150.1833,73.99,88,100,18.01,overcast clouds
333,Bulgan,MN,48.8125,103.5347,20.62,86,37,8.23,scattered clouds
334,Kirakira,SB,-10.4544,161.9205,84.74,72,51,7.63,broken clouds
335,Oistins,BB,13.0667,-59.5333,78.8,61,20,19.57,few clouds
336,Nanning,CN,22.8167,108.3167,71.6,60,0,6.71,clear sky
337,Angoche,MZ,-16.2325,39.9086,81.05,87,87,3.87,light rain
338,Vallenar,CL,-28.5708,-70.7581,62.58,67,73,2.46,broken clouds
339,Basco,PH,20.4487,121.9702,71.67,72,70,18.5,broken clouds
340,Khatanga,RU,71.9667,102.5,-30.95,77,0,8.12,clear sky
341,Flin Flon,CA,54.7682,-101.865,-6.88,90,100,7.67,overcast clouds
342,Orlik,RU,52.5178,99.825,8.37,81,100,6.64,overcast clouds
343,Padang,ID,-0.9492,100.3543,89.6,58,20,4.61,few clouds
344,Pimenta Bueno,BR,-11.6725,-61.1936,73.76,95,100,1.81,overcast clouds
345,Amahai,ID,-3.3333,128.9167,83.26,72,100,3.31,overcast clouds
346,Viedma,AR,-40.8135,-62.9967,70.39,38,0,12.1,clear sky
347,Akdepe,TM,42.0551,59.3788,39.2,93,100,4.61,overcast clouds
